rank,prev_rank,name,league,off,def,spi
485,481,Larissa,Greek Super League,0.7,1.38,28.18
486,486,San Antonio FC,United Soccer League,1.03,1.88,27.84
487,471,Livingston,Scottish Premiership,0.97,1.8,27.65
488,475,AC Horsens,Danish SAS-Ligaen,0.92,1.74,27.54
489,490,Lamia,Greek Super League,0.55,1.18,27.53
490,485,AC Ajaccio,French Ligue 2,0.76,1.52,27.24
491,506,Östersunds FK,Swedish Allsvenskan,0.8,1.58,27.13
492,512,Reggina,Italy Serie B,0.89,1.72,27.04
493,510,DC United,Major League Soccer,0.95,1.82,26.98
494,491,Dunkerque,French Ligue 2,0.82,1.63,26.94
495,483,IFK Goteborg,Swedish Allsvenskan,0.86,1.7,26.83
496,487,Orebro SK,Swedish Allsvenskan,0.96,1.85,26.82
497,493,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
498,494,Western Sydney FC,Australian A-League,1.07,2,26.8
499,495,Motherwell,Scottish Premiership,0.84,1.67,26.72
500,498,Chateauroux,French Ligue 2,0.77,1.57,26.7
501,517,Stabaek,Norwegian Tippeligaen,0.94,1.82,26.6
502,496,Melbourne Victory,Australian A-League,1.07,2.01,26.6
503,499,Western United,Australian A-League,1.02,1.96,26.35
504,501,Brisbane Roar,Australian A-League,0.91,1.81,26.16
505,482,CD Sabadell,Spanish Segunda Division,0.84,1.71,26.11
506,503,Waasland-Beveren,Belgian Jupiler League,1.06,2.04,25.98
507,508,FC Xanthi,Greek Super League,0.58,1.33,25.81
508,505,Mjallby,Swedish Allsvenskan,1,1.97,25.71
509,525,Haugesund,Norwegian Tippeligaen,0.97,1.94,25.51
510,502,Oxford United,English League One,0.93,1.88,25.49
511,520,Charlton Athletic,English League One,0.8,1.7,25.31
512,516,Portsmouth,English League One,0.78,1.67,25.21
513,528,Salernitana,Italy Serie B,0.84,1.78,25.11
514,511,Würzburger Kickers,German 2. Bundesliga,0.83,1.76,25.04
515,497,Sarpsborg,Norwegian Tippeligaen,0.76,1.65,25.01
516,509,Oita Trinita,Japanese J League,0.7,1.56,25.01
517,504,Eintracht Braunschweig,German 2. Bundesliga,0.83,1.77,24.9
518,527,Consadole Sapporo,Japanese J League,0.92,1.92,24.78
519,540,F.B.C Unione Venezia,Italy Serie B,0.74,1.65,24.64
520,522,Salford City,English League Two,0.84,1.81,24.5
521,515,Stromsgodset,Norwegian Tippeligaen,1,2.06,24.39
522,524,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
523,526,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
524,521,Rodez,French Ligue 2,0.75,1.71,23.85
525,530,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
526,518,FC Cincinnati,Major League Soccer,0.74,1.73,23.44
527,513,Lyngby,Danish SAS-Ligaen,0.83,1.87,23.41
528,538,Lincoln City,English League One,0.79,1.8,23.41
529,532,Pordenone Calcio,Italy Serie B,0.75,1.74,23.35
530,529,Cremonese,Italy Serie B,0.71,1.69,23.22
531,519,Fleetwood Town,English League One,0.77,1.79,23.08
532,533,Helsingborgs IF,Swedish Allsvenskan,0.83,1.89,23.07
533,536,New Mexico United,United Soccer League,0.81,1.88,22.97
534,514,Chambly Thelle FC,French Ligue 2,0.76,1.79,22.96
535,537,Pau,French Ligue 2,0.68,1.7,22.41
536,542,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
537,541,Shimizu S-Pulse,Japanese J League,0.98,2.19,22.29
538,550,Pisa,Italy Serie B,0.73,1.8,22.02
